Table #,V2 Table Type,Name,Description,Concept Domain,Steward WorkGroup,V2 Binding Code,Field Where Used,V2 Codes Table Comment.,Code System Problem?,Table OID,V2 Code System OID,V2 Code System URI,V2 Value Set OID,V2 Value Set URI,V2 Code System Version,version-tbl-introduced,version-csvs-introduced,V2 VS CLD Type
0290,HL7,MIME base64 encoding characters,Table of encoding characters used for base64 MIME encoding.  Base64 is defined as follows (adapted from MIME Internet standard RFC 1521).,EncodingCharacters,,Universal (3),,,,2.16.840.1.113883.12.290,2.16.840.1.113883.18.180,http://terminology.hl7.org/CodeSystem/v2-0290,2.16.840.1.113883.21.192,http://terminology.hl7.org/ValueSet/v2-0290,10,2.3,2.9,1
0291,HL7,Subtype of Referenced Data,Table of codes specifying a subset of the media subtypes of binary data that are encoded in an ascii structure or stream.,SubtypeOfReferencedData,,Universal (3),RP.4,,,2.16.840.1.113883.12.291,2.16.840.1.113883.18.181,http://terminology.hl7.org/CodeSystem/v2-0291,2.16.840.1.113883.21.193,http://terminology.hl7.org/ValueSet/v2-notAllCodes-0291,10,2.3,2.9,2
0292,Externally defined,Vaccines Administered,"Table of codes specifying the administered vaccines.   The values are maintained by the US Centers of Disease Control.  The code system is maintained by the CDC, and may be found at URL;  https://phinvads.cdc.gov/vads/ViewCodeSystem.action?id=2.16.840.1.113883.12.292
The value set is maintained by the CDC and may be found at URL: https://phinvads.cdc.gov/vads/ViewValueSet.action?id=ABDEE003-77C3-48E7-B941-EBF92B6B81FC",VaccinesAdministered,oo,Universal (3),"RXA-5, RXE-2, RXD-2, RXG-4",,http://hl7.org/fhir/sid/cvx,2.16.840.1.113883.12.292,2.16.840.1.113883.12.292,http://hl7.org/fhir/sid/cvx,2.16.840.1.114222.4.11.934,http://terminology.hl7.org/ValueSet/v2-0292,10,2.3,2.9,1
0293,User,Billing Category,"Table of codes specifying the billing category codes for any classification systems needed, for example, general ledger codes and UB92 categories.  No suggested values.",BillingCategory,fm,N/A (0),PRC-14,,,2.16.840.1.113883.12.293,,,,,10,2.3,2.9,
0294,User,Time Selection Criteria Parameter Class Codes,"Table of codes used to describe acceptable start and end times, as well as days of the week, for appointment or resource scheduling.",TimeSelectionCriteriaParameterClassCodes,pa,Representative (2),"SCV.1, APR-1, APR-2",,,2.16.840.1.113883.12.294,2.16.840.1.113883.18.183,http://terminology.hl7.org/CodeSystem/v2-0294,2.16.840.1.113883.21.195,http://terminology.hl7.org/ValueSet/v2-0294,10,2.3,2.9,1
0295,User,Handicap,Table of codes specifying an associated party's disability.  No suggested values.,Handicap,pa,N/A (0),"NK1-36, PD1-6",,,2.16.840.1.113883.12.295,,,,,10,2.3,2.9,
0296,User,Primary Language,Table of codes specifying the patient's primary language.  No suggested values.,PrimaryLanguage,sd,N/A (0),"CON:18, PID-15",,,2.16.840.1.113883.12.296,,,,,10,2.3,2.9,
0297,User,CN ID Source,Table of codes specifying the CN identification source.  No suggested values.,CnIdSource,oo,N/A (0),"CNN.8, PPN.8, XCN.8",,,2.16.840.1.113883.12.297,,,,,10,2.3,2.9,
0298,HL7,CP Range Type,HL7-defined table of codes that specify whether a composite price range is experssed as a flat rate or a percentage.,CpRangeType,inm,Universal (3),Data type CP.6,,,2.16.840.1.113883.12.298,2.16.840.1.113883.18.184,http://terminology.hl7.org/CodeSystem/v2-0298,2.16.840.1.113883.21.196,http://terminology.hl7.org/ValueSet/v2-0298,10,2.3,2.9,1
0299,HL7,Encoding,HL7-defined table of codes identifying the type of encoding used to represent successive octets of binary data as displayable ASCII characters.  These are defined by IETF; more information may be found at https://www.ietf.org/rfc/rfc1521.txt,Encoding,,Universal (3),,,,2.16.840.1.113883.12.299,2.16.840.1.113883.18.185,http://terminology.hl7.org/CodeSystem/v2-0299,2.16.840.1.113883.21.197,http://terminology.hl7.org/ValueSet/v2-0299,10,2.3,2.9,1
0300,User,Namespace ID,Table of codes which specify the unique name of the system that stores the data.   It was previously named the Application ID.  No suggested values.,NamespaceId,inm,N/A (0),HD.1,,,2.16.840.1.113883.12.300,,,,,10,2.3,2.9,
0301,HL7,Universal ID Type,"HL7-defined table of codes specifying the type of UID (Universal Identifier).  Open Issue:  Table 0301 has a mix of class and instance identifiers for namespaces, which is improper.  The values for instances. such as CLIA, CLIP, CAP, and NPI. These were added for pragmatic issues related to older datatypes that were universally bound tand should not be here but are needed for implementation pragmatics.   These should be annotated in Comment or Usage Notes that these are not universal ID types really.",UniversalIdType,inm,Representative (2),"HD.3, EI.4",,,2.16.840.1.113883.12.301,2.16.840.1.113883.18.186,http://terminology.hl7.org/CodeSystem/v2-0301,2.16.840.1.113883.21.198,http://terminology.hl7.org/ValueSet/v2-0301,10,2.3,2.9,1
0302,User,Point of Care,"Table of codes specifying the point where patient care is administered.  It is conditional on Person Location Type (e.g., nursing unit or department or clinic).   No suggested values.",PointOfCare,pa,N/A (0),"PL.1, NDL.4",,,2.16.840.1.113883.12.302,,,,,10,2.3,2.9,
0303,User,Room,Table of codes specifying the patient's room.  No suggested values.,Room,pa,N/A (0),"PL.2, NDL.5",,,2.16.840.1.113883.12.303,,,,,10,2.3,2.9,
0304,User,Bed,Table of codes specifying the patient's bed.  No suggested values.,Bed,pa,N/A (0),"PL.3, NDL.6",,,2.16.840.1.113883.12.304,,,,,10,2.3,2.9,
0305,User,Person Location Type,Table of codes specifying the categorization of the person's location.,PersonLocationType,pa,Example (1),"PL.6, NDL.9",,,2.16.840.1.113883.12.305,2.16.840.1.113883.18.187,http://terminology.hl7.org/CodeSystem/v2-0305,2.16.840.1.113883.21.199,http://terminology.hl7.org/ValueSet/v2-0305,10,2.3,2.9,1
0306,User,Location Status,"Table of codes specifying the status or availability of the location, such as the bed status.   No suggested values.",LocationStatus,pa,N/A (0),"PL.5, NDL.8",,,2.16.840.1.113883.12.306,,,,,10,2.3,2.9,
0307,User,Building,Table of codes specifying the building where the person is located.  No suggested values.,Building,pa,N/A (0),"PL.7, NDL.10",,,2.16.840.1.113883.12.307,,,,,10,2.3,2.9,
0308,User,Floor,Table of codes specifying the floor where the person is located.  No suggested values.,Floor,pa,N/A (0),"PL.8, NDL.11",,,2.16.840.1.113883.12.308,,,,,10,2.3,2.9,
0309,User,Coverage Type,"Table of codes specifying the type of insurance coverage or what types of services are covered for the purposes of a billing system.  For example, a physician billing system will only want to receive insurance information for plans that cover physician/professional charges.",CoverageType,fm,Example (1),IN1-47,,,2.16.840.1.113883.12.309,2.16.840.1.113883.18.188,http://terminology.hl7.org/CodeSystem/v2-0309,2.16.840.1.113883.21.200,http://terminology.hl7.org/ValueSet/v2-0309,10,2.3,2.9,1
0311,User,Job Status,Table of codes specifying a next of kin/associated party's job status.,JobStatus,pa,N/A (0),NK1-34,,,2.16.840.1.113883.12.311,2.16.840.1.113883.18.189,http://terminology.hl7.org/CodeSystem/v2-0311,2.16.840.1.113883.21.201,http://terminology.hl7.org/ValueSet/v2-0311,10,2.3,2.9,1
0312,User,Policy Scope,"Table of codes specifying the extent of insurance coverage for a participating member (e.g., single, family, etc.).  No suggested values.",PolicyScope,fm,N/A (0),IN2-59,,,2.16.840.1.113883.12.312,,,,,10,2.3,2.9,
0313,User,Policy Source,Table of codes specifying how an insurance policy is established.  No suggested values.,PolicySource,pa,N/A (0),IN2-60,,,2.16.840.1.113883.12.313,,,,,10,2.3,2.9,
0315,User,Living Will Code,"Table of codes specifying whether or not the patient has a living will and, if so, whether a copy fo the living will is on file at the healthcare facility.  If the patient does not have a living will, the value of this field indicates whether the patient was provided information on living wills.",LivingWillCode,pa,Representative (2),"PV2-43, PD1-7",,,2.16.840.1.113883.12.315,2.16.840.1.113883.18.190,http://terminology.hl7.org/CodeSystem/v2-0315,2.16.840.1.113883.21.202,http://terminology.hl7.org/ValueSet/v2-0315,10,2.3,2.9,1
0316,User,Organ Donor Code,Table of codes specifying whether the patient wants to donate his/her organs and whether an organ donor card or similar documentation is on file with the healthcare organization.,OrganDonorCode,pa,Representative (2),"PV2-44, PD1-8",,,2.16.840.1.113883.12.316,2.16.840.1.113883.18.192,http://terminology.hl7.org/CodeSystem/v2-0316,2.16.840.1.113883.21.204,http://terminology.hl7.org/ValueSet/v2-0316,10,2.3,2.9,1
0317,User,Annotations,Table of codes specifying the coded entry associated with a given point in time during the waveform recording.  Note codes beyond 9903 may exist; extensions to this table may be done by incrementing the code value.,Annotations,oo,Example (1),OBX ANO,,,2.16.840.1.113883.12.317,2.16.840.1.113883.18.193,http://terminology.hl7.org/CodeSystem/v2-0317,2.16.840.1.113883.21.205,http://terminology.hl7.org/ValueSet/v2-0317,10,2.3,2.9,1
0319,User,Department Cost Center,Table of codes specifying the accounting code that identifies the department in order to charge for the item.  No suggested values.,DepartmentCostCenter,oo,N/A (0),RQD-7,,,2.16.840.1.113883.12.319,,,,,10,2.3,2.9,
0320,User,Item Natural Account Code,Table of codes identifying an item in order to charge for the item.  No suggested values.,ItemNaturalAccountCode,oo,N/A (0),RQD-8,,,2.16.840.1.113883.12.320,,,,,10,2.3,2.9,
0321,HL7,Dispense Method,HL7-defined table of codes specifying the method by which treatment is dispensed.,DispenseMethod,oo,Universal (3),"RXE-30, RXD-24",,,2.16.840.1.113883.12.321,2.16.840.1.113883.18.194,http://terminology.hl7.org/CodeSystem/v2-0321,2.16.840.1.113883.21.206,http://terminology.hl7.org/ValueSet/v2-0321,10,2.3,2.9,1
0322,HL7,Completion Status,HL7-defined table of codes specifying the status of the treatment administration event.,CompletionStatus,oo,Universal (3),RXA-20,,,2.16.840.1.113883.12.322,2.16.840.1.113883.18.195,http://terminology.hl7.org/CodeSystem/v2-0322,2.16.840.1.113883.21.207,http://terminology.hl7.org/ValueSet/v2-0322,10,2.3,2.9,1
0323,HL7,Action Code,"HL7-defined table ofstatus codes of record operation. Used in Version 2 messaging, these are used in the RXA segment in the vaccine messages, where a method of correcting vaccination information transmitted with incorrect patient identifying information is needed.  As of version 2.6, this table was replaced with table 0206, whose values are defined by code system 2.16.840.1.133883.18.111.",ActionCode,,Universal (3),,,,2.16.840.1.113883.12.323,2.16.840.1.113883.18.196,http://terminology.hl7.org/CodeSystem/v2-0323,2.16.840.1.113883.21.208,http://terminology.hl7.org/ValueSet/v2-0323,10,2.3,2.9,1
0324,User,Location Characteristic ID,Table of codes specifying an identifier code to show which characteristic is being communicated with the segment.,LocationCharacteristicId,pa,Example (1),LCH-4,,,2.16.840.1.113883.12.324,2.16.840.1.113883.18.197,http://terminology.hl7.org/CodeSystem/v2-0324,2.16.840.1.113883.21.209,http://terminology.hl7.org/ValueSet/v2-0324,10,2.3,2.9,1
0325,User,Location Relationship ID,Table of codes specifying an identifier code to show which relationship is being communicated with the segment.,LocationRelationshipId,pa,Example (1),LRL-4,,,2.16.840.1.113883.12.325,2.16.840.1.113883.18.198,http://terminology.hl7.org/CodeSystem/v2-0325,2.16.840.1.113883.21.210,http://terminology.hl7.org/ValueSet/v2-0325,10,2.3,2.9,1
0326,User,Visit Indicator,"Table of codes specifying the level on which data are being sent.  It is the indicator used to send data at two levels, visit and account.  HL7 recommends sending an ""A"" or no value when the data in the message are at the account level or ""V"" to indicate that the data sent in the message are at the visit level.",VisitIndicator,pa,Representative (2),PV1-51,,,2.16.840.1.113883.12.326,2.16.840.1.113883.18.199,http://terminology.hl7.org/CodeSystem/v2-0326,2.16.840.1.113883.21.211,http://terminology.hl7.org/ValueSet/v2-0326,10,2.3,2.9,1
0327,User,Job Code,Table of codes that specify a person's job code.  No suggested values.,JobCode,pa,N/A (0),JCC.1,,,2.16.840.1.113883.12.327,,,,,10,2.3,2.9,
0328,User,Employee Classification,Table of codes that specify a person's employee classification.  No suggested values.,EmployeeClassification,pa,N/A (0),JCC.2,,,2.16.840.1.113883.12.328,,,,,10,2.3,2.9,
0329,HL7,Quantity Method,HL7-defined table of codes used to specify the method by which the quantity distributed is measured.,QuantityMethod,oo,Universal (3),"PSH-8, PSH-11",,,2.16.840.1.113883.12.329,2.16.840.1.113883.18.200,http://terminology.hl7.org/CodeSystem/v2-0329,2.16.840.1.113883.21.212,http://terminology.hl7.org/ValueSet/v2-0329,10,2.3,2.9,1
0330,HL7,Marketing Basis,HL7-defined table of codes used to specify the basis for marketing approval.,MarketingBasis,oo,Universal (3),PDC-10,,,2.16.840.1.113883.12.330,2.16.840.1.113883.18.201,http://terminology.hl7.org/CodeSystem/v2-0330,2.16.840.1.113883.21.213,http://terminology.hl7.org/ValueSet/v2-0330,10,2.3,2.9,1
0331,HL7,Facility Type,HL7-defined table of codes used to specify the type of facility.,FacilityType,oo,Universal (3),FAC-2,,,2.16.840.1.113883.12.331,2.16.840.1.113883.18.202,http://terminology.hl7.org/CodeSystem/v2-0331,2.16.840.1.113883.21.214,http://terminology.hl7.org/ValueSet/v2-0331,10,2.3,2.9,1
0332,HL7,Source Type,HL7-defined table of codes used to indicate (in certain systems) whether a lower level source identifier is an initiate or accept type.,SourceType,inm,Universal (3),NST-3,,,2.16.840.1.113883.12.332,2.16.840.1.113883.18.203,http://terminology.hl7.org/CodeSystem/v2-0332,2.16.840.1.113883.21.215,http://terminology.hl7.org/ValueSet/v2-0332,10,2.3,2.9,1
0333,User,Driver's License Issuing Authority,Table of codes specifying the driver's license issuing authority.  No suggested values.,DriversLicenseIssuingAuthority,pa,N/A (0),DLN.2,,,2.16.840.1.113883.12.333,,,,,10,2.3,2.9,
0334,User,Disabled Person Code,"Table of codes used to specify to which person the disability information relates in the message.  For example, if the value is PT, the disability information relates to the patient.",DisabledPersonCode,pa,Representative (2),DB1-2,,,2.16.840.1.113883.12.334,2.16.840.1.113883.18.204,http://terminology.hl7.org/CodeSystem/v2-0334,2.16.840.1.113883.21.216,http://terminology.hl7.org/ValueSet/v2-0334,10,2.3,2.9,1
0335,User,Repeat Pattern,"Table of codes used to specify the interval between repeated services. See the Comment/Usage Note in the table below, as the table contains both precoordinated codes that may be used in an HL7 field or component and also explanatory patterns illustrating the syntax used to construct expressions using the codes and other modifiers.",RepeatPattern,oo,Representative (2),"RI.1, RPT.1",,,2.16.840.1.113883.12.335,2.16.840.1.113883.18.205,http://terminology.hl7.org/CodeSystem/v2-0335,2.16.840.1.113883.21.217,http://terminology.hl7.org/ValueSet/v2-0335,10,2.3,2.9,1
0336,User,Referral Reason,Table of codes used to specify the reason for which the referral will take place.,ReferralReason,oo,Representative (2),RF1-10,,,2.16.840.1.113883.12.336,2.16.840.1.113883.18.206,http://terminology.hl7.org/CodeSystem/v2-0336,2.16.840.1.113883.21.218,http://terminology.hl7.org/ValueSet/v2-0336,10,2.3,2.9,1
0337,HL7,Certification Status,HL7-defined table of codes used to specify the status of the practitioner's speciality certification.,CertificationStatus,pa,Universal (3),"SPD.3, PRA-5",,,2.16.840.1.113883.12.337,2.16.840.1.113883.18.207,http://terminology.hl7.org/CodeSystem/v2-0337,2.16.840.1.113883.21.219,http://terminology.hl7.org/ValueSet/v2-0337,10,2.3,2.9,1
0338,User,Practitioner ID Number Type,Table of codes specifying the type of number used for the practitioner identification.,PractitionerIdNumberType,inm,Representative (2),"PLN.2, PRD-7, CTD-7",,,2.16.840.1.113883.12.338,2.16.840.1.113883.18.108,http://terminology.hl7.org/CodeSystem/v2-0203,2.16.840.1.113883.21.220,http://terminology.hl7.org/ValueSet/v2-0338,10,2.3,2.9,2
0339,User,Advanced Beneficiary Notice Code,"Table of codes specifying the status of the patient's or the patient's representative's consent for responsibility to pay for potentially uninsured services. This element was introduced to satisfy CMS Medical Necessity requirements for outpatient services in the United States. Includes concepts such as (a) whether the associated diagnosis codes for the service are subject to medical necessity procedures, (b) whether, for this type of service, the patient has been informed that they may be responsible for payment for the service, and (c) whether the patient agrees to be billed for this service.",AdvancedBeneficiaryNoticeCode,oo,Representative (2),"ORC-20, FT1-27",,,2.16.840.1.113883.12.339,2.16.840.1.113883.18.209,http://terminology.hl7.org/CodeSystem/v2-0339,2.16.840.1.113883.21.221,http://terminology.hl7.org/ValueSet/v2-0339,10,2.3.1,2.9,1
