"Issue Type","Key","Status","Resolution","Summary","Reporter","Created","Updated","Priority","Assignee","Parent key","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments"
"Change Request","UP-213","Withdrawn","Retracted","Create Present On Admission Indicators Value Set ","carmela_couderc","2021-06-24 06:23","2021-07-16 03:24","Medium","carmela_couderc","","https://confluence.hl7.org/pages/viewpage.action?pageId=116461086","","","","","","","","","","","","","","","","","","","","","","","2021-06-24 06:24;carmela_couderc;FYI [~mitrep9g] [~feisenberg]  First step to creating Present on Admission Value Set. ","2021-06-24 06:28;carmela_couderc;Create a new Value Set, including all codes from the code system.","2021-06-24 07:14;feisenberg;To add some context, the current FHIR example value set is used by ExplanationOfBenefits.onAdmission and by Claim.diagnosis.onAdmission, both as CodeableConcept / Example.  
US Core does not include the Claim resource and [US Core update Encounter profile|http://build.fhir.org/ig/HL7/US-Core/StructureDefinition-us-core-encounter.html] also does NOT include an onAdmission concept as part of Encounter.diagnosis. Therefore, the only current use of the existing value set seems to be Claim and ExplanationOfBenefits.

Note that the value set referenced in FHIR R4B has the same URL as FHIR R5 build. However, the content is different in the two existing resources:

FHIR R4B also uses this value set, however, in R4B it contains 4 codes (y – yes, n – no, u – unknown, w – undetermined) The “1” code indicating not required is missing
In FHIR R4B, the value set is used by two FHIR Resources:
•	Resource: ExplanationOfBenefit.diagnosis.onAdmission (CodeableConcept / Example)
•	Resource: Claim.diagnosis.onAdmission (CodeableConcept / Example)

FHIR R5 Claim.diagnosis.onAdmission uses the current http://hl7.org/fhir/ValueSet/ex-diagnosis-on-admission as a CodeableConcept / Example, containing 3 codes (yes, no, unknown)
The value set is used by two FHIR R5 Resources:
•	Resource: ExplanationOfBenefit.diagnosis.onAdmission (CodeableConcept / Example)
•	Resource: Claim.diagnosis.onAdmission (CodeableConcept / Example)

In both versions of FHIR, the value set is only used as an Example.","2021-06-24 12:19;mitrep9g;Also note [https://build.fhir.org/ig/HL7/carin-bb/ValueSet-AHANUBCPresentOnAdmission.html]","2021-06-24 03:19;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 15
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 3
OSG Vote Weight: 2
Super Voters: lloyd, tedhl7geek
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, carmela_couderc, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, jfrancis, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Rongparker, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: No
OSGVoter International Requirement Met: No
OSGVoter Requirement Met: No
OSGVoter Vocabulary Requirement Met: No
Positve Voters: 
Negative Voters: ","2021-06-24 03:30;mitrep9g;To clarify the statement above ""this value set will *replace* [http://hl7.org/fhir/R4/valueset-ex-diagnosis-on-admission.html,] "":  when UP-213 is implemented,  [http://hl7.org/fhir/R4/valueset-ex-diagnosis-on-admission.html will|http://hl7.org/fhir/R4/valueset-ex-diagnosis-on-admission.html] will still exist as is; it will NOT *replace* that value set. If [http://hl7.org/fhir/claim-definitions.html#Claim.diagnosis.onAdmission] and [http://hl7.org/fhir/explanationofbenefit-definitions.html#ExplanationOfBenefit.diagnosis.onAdmission] want to continue binding to it, that us up to FM.  QI-Core will bind to the value set created by UP-213, QI-Core will ""replace"" its binding.  If, for R5, Claim and EOB want to change their binding to the new value set created by UP-213, then someone should submit an appropriate Jira issue.","2021-07-12 05:16;carmela_couderc;See meeting minutes here:  [https://confluence.hl7.org/pages/viewpage.action?pageId=116465844]

Scroll to DECISION.

A new UP ticket will be entered to create a value set with the same name as the one listed in this ticket, however it will _not have all codes_, it will have all codes except ""1"" from the CMS Present on Admission Code System. 

 ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-212","Proposal Implemented","Done","Add SNOMED International Global Patient Set (GPS) value set","rhausam","2021-06-07 09:11","2022-04-27 09:29","Medium","rhausam","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-22 02:57;tedhl7geek;Upon close examination during the June 22 UTG project call, it is clear that the processing of this ticket into Consensus Review went awry.   This is being pulled back to get the problems resolved and will be resubmitted shortly.","2021-06-22 02:57;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: Robert Hausam
Required Votes: 15
Positive Votes: 2 
Total Votes Cast: 2
Super Vote Weight: 3
OSG Vote Weight: 2
Super Voters: lloyd, tedhl7geek
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, carmela_couderc, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, jfrancis, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Rongparker, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: Yes
OSGVoter International Requirement Met: No
OSGVoter Requirement Met: No
OSGVoter Vocabulary Requirement Met: Yes
Positve Voters: Robert Hausam
Negative Voters: ","2021-06-22 02:57;tedhl7geek;Issue with the branch build must be fixed","2021-06-25 08:17;rhausam;This is confirming that the issue with the branch build has been fixed and the published example is now linked.","2021-06-29 07:27;sylvia_thun;Issue has been fixed.","2021-06-30 12:13;tedhl7geek;Issue has been fixed.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-211","Change Not Needed","","Add SNOMED International Global Patient Set (GPS) value set.","rhausam","2021-06-07 09:10","2021-06-16 09:02","Medium","rhausam","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-16 09:02;tedhl7geek;Initial attempt to make this proposal, abandoned later.   Content correct in UP-212 to move forward.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-210","Environment Setup","","Typo in ActCode AMB definition","nradov","2021-06-04 03:40","2021-06-18 07:44","Medium","nradov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-209","Environment Setup","","Contact-point-use codeSystem is missing from UTG","LisaRNelson","2021-05-19 01:33","2021-05-19 01:33","Medium","LisaRNelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-208","Proposal Implemented","Done","Update Status on OPINIONS to Active","j_harper","2021-05-17 12:45","2022-04-27 09:30","Medium","j_harper","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-26 11:48;j_harper;updated status to active","2021-08-04 05:44;tedhl7geek;[~jsnell] still the field for Published Example is not showing on Pro Forma tickets.

Thought that had been fixed?

Link to rendering:   [http://build.fhir.org/ig/HL7/UTG/branches/UP-208-update-status-on-opinions-to-active/index.html] 

 ","2021-08-12 10:10;j_harper;validated that status is updated correctly.  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-207","Proposal Implemented","Done","Update Status on CSAID to Inactive","j_harper","2021-05-17 12:45","2022-04-27 09:30","Medium","j_harper","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-26 11:09;j_harper;CSAID is currently listed as active.  Per CSA, the code system has been inactive since 2015.","2021-08-04 10:52;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2021-08-04 10:53;tedhl7geek;Cannot be built.   There is no CodeSystem.status code 'inactive'.   The valid values for this element can be found at [http://hl7.org/fhir/valueset-publication-status.html]   Only these values may be put in the <status> element; it is a 'code' data type with a Required binding.   Returning to Draft for further work.

 ","2021-08-04 11:29;j_harper;updated status to retired","2021-08-04 02:58;tedhl7geek;Cannot be built.   Error:

Publishing Content Failed: Error parsing .../external/v3/namingSystems/v3-csaid: Invalid date/time format: ""2015-13-31"" (00:52.0219)

Stack Dump (for debugging):                                                      (00:52.0222)

java.lang.Exception: Error parsing /Users/tedklein/Documents/tedhl7/vocabulary/Projects/UTG/gitImages/in-flight/UP-207/input/sourceOfTruth/external/v3/namingSystems/v3-csaid: Invalid date/time format: ""2015-13-31""

at org.hl7.fhir.igtools.publisher.Publisher.load(Publish

 

Please correct. Returning to Draft.

 ","2021-08-04 02:58;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2021-08-04 03:08;j_harper;fixed invalid date","2021-08-12 10:05;j_harper;validated that status is updated correctly.  validated that description has been updated.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-206","Withdrawn","Won't Do","Update Status on OPINIONS to Retired","j_harper","2021-05-11 09:37","2021-06-18 07:44","Medium","j_harper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-205","Withdrawn","Won't Do","Update Status on CSAID to Active","j_harper","2021-05-11 08:52","2021-06-18 07:44","Medium","j_harper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-204","Environment Setup","","Add NEW namespaces for (medical) device identifiers","brianreinhold","2021-05-10 05:35","2021-05-10 05:35","Medium","brianreinhold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-203","Proposal Draft","","Update MVX Code System and Naming System per HTA","jsnell","2021-05-07 05:07","2021-10-07 10:09","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-29 04:25;tedhl7geek;The objects being changed (the MVX cs and ns) are not noted in the Change Objects field.","2021-06-29 04:50;tedhl7geek;Did the 'Create Branch Rendering' transition function but no field for the Published Example.      The link is [published|http://build.fhir.org/ig/HL7/UTG/branches/UP-203-update-mvx-code-system-and-naming-system-per-hta/index.html] from zulip log.    Also no text in the Description field, dunno if this is intentional.    Some strange problem it appears with showing the fields properly.","2021-06-29 04:51;tedhl7geek;[~Josh] perhaps the fialure to show the fields is something trivial?   We do not want lots of other folks doing these until these errors are addressed.   No clue why it should behave like this.","2021-06-30 06:18;jsnell;[~Josh] and [~tedhl7geek], I think the fields disappeared when we changed the name of the issue type from 'Technical Correction' to 'Pro Forma'. Even the proposal type was removed :(","2021-10-07 10:09;jsnell;Something happened to this ticket (I think when we re-implemented Technical Corrections to be Pro Forma tickets). Regardless, I think this one needs to be reworked as I did not understand all of the complexities at the time the original changes are submitted. I will close this one and create a new ticket to address the MVX changes. ","2021-10-07 10:09;jsnell;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-202","Environment Setup","","Updated MedDRA Code System and Naming System per HTA","jsnell","2021-05-07 04:59","2021-06-18 07:44","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-07 05:05;jsnell;[~cmacumber], there are several other MedDRA language editions in THO. Please advise if those should be updated in any way as well. http://build.fhir.org/ig/HL7/UTG/CodeSystem-MDRFRE.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
