Ch2c Table,Ch2c Concept Domain Info - Name,Ch2c Concept Domain Info - Symbolic Name,Ch2c Concept Domain Info - Description,Ch2c Concept Domain Info - Cd Only,Ch2c Cs Info - Oid,Ch2c Cs Info - Symbolic Name,Ch2c Cs Info - Description,Ch2c Cs Info - Full Name,Ch2c Cs Info - Utg Url,Ch2c Cs Info - Utg Name,Ch2c Cs Info - Table Oid,Ch2c Cs Info - Version Info,Ch2c Cs Info - Web Url,Ch2c Cs Info - Comments,Ch2c Cs Version Info - Effective Date,Ch2c Cs Version Info - Version,Ch2c Cs Version Info - Version Introduced,Ch2c Vs Version Info - Oid,Ch2c Vs Version Info - Symbolic Name,Ch2c Vs Version Info - Description,Ch2c Vs Version Info - Full Name,Ch2c Vs Version Info - Utg Url,Ch2c Vs Version Info - Cld,Ch2c Vs Version Info - Web Url,Ch2c Vs Version Info - Utg Name,Ch2c Vs Version Info - Utg Title,Ch2c Vs Version Info - Comments,Ch2c Binding Info - Realm,Ch2c Metadata - Table,Ch2c Metadata - Table Oid,Ch2c Metadata - Symbolic Name,Ch2c Metadata - Description,Ch2c Metadata - Type,Ch2c Metadata - Steward,Ch2c Metadata - Where Used,Ch2c Metadata - Version Introduced,Ch2c Metadata - Full Name,Ch2c Metadata - Utg Url
0227 -- Manufacturers of Vaccines (code=MVX),DOM: 227,ManufacturersOfVaccines,"The domain of possible values for the organization that manufactures
a vaccine. The values are maintained by the US Centers of Disease
Control. Note that the source of truth for these code values are
maintained by the CDC, and the code system may be accessed at URL:
https://phinvads.cdc.gov/vads/SearchCodeSystems_search.action?searchOptions.searchText=PH_ManufacturersOfVaccinesMVX_CDC_NIP.
The value set is also maintained by the CDC, and may be accessed at URL:
https://phinvads.cdc.gov/vads/SearchValueSets_search.action?searchOptions.searchText=PHVS_ManufacturersOfVaccinesMVX_CDC_NIP",false,,PH_ManufacturersOfVaccinesMVX_CDC_NIP,"Table of codes specifying the organization that manufactures a
vaccine. The values are maintained by the US Centers of Disease Control.
Note that the source of truth for these code values are maintained by
the CDC, and the code system may be accessed at URL:
https://phinvads.cdc.gov/vads/SearchCodeSystems_search.action?searchOptions.searchText=PH_ManufacturersOfVaccinesMVX_CDC_NIP.
The value set is also maintained by the CDC, and may be accessed at URL:
https://phinvads.cdc.gov/vads/SearchValueSets_search.action?searchOptions.searchText=PHVS_ManufacturersOfVaccinesMVX_CDC_NIP",Manufacturers of Vaccines (code=MVX) Code System,http://terminology.hl7.org/CodeSystem/v2-0227,,2.16.840.1.113883.12.227,"Versioning defined by external organization; see external source for
details.",,,,,,2.16.840.1.114222.4.11.826,PHVS_ManufacturersOfVaccinesMVX_CDC_NIP,"Value Set of codes that specify the organization that manufactures a
vaccine. The values are maintained by the US Centers of Disease Control.
Note that the source of truth for these code values are maintained by
the CDC, and the code system may be acce",Manufacturers of Vaccines (code=MVX) Value Set,http://terminology.hl7.org/ValueSet/v2-0227,all codes,,,,,unspecified,0227,2.16.840.1.113883.12.227,PH_ManufacturersOfVaccinesMVX_CDC_NIP,"Table of codes specifying the organization that manufactures a
vaccine. The values are maintained by the US Centers of Disease Control.
Note that the source of truth for these code values are maintained by
the CDC, and the code system may be accessed at URL:
https://phinvads.cdc.gov/vads/SearchCodeSystems_search.action?searchOptions.searchText=PH_ManufacturersOfVaccinesMVX_CDC_NIP.
The value set is also maintained by the CDC, and may be accessed at URL:
https://phinvads.cdc.gov/vads/SearchValueSets_search.action?searchOptions.searchText=PHVS_ManufacturersOfVaccinesMVX_CDC_NIP",Imported,OO,"RXA-17, RXD-20, RXG-21",2.3,Manufacturers of Vaccines (code=MVX) Code System,http://terminology.hl7.org/CodeSystem/v2-0227
0228 -- Diagnosis Classification,DOM: 228,DiagnosisClassification,"The domain of possible values that classify whether a patient visit
can be related to a diagnosis.",false,2.16.840.1.113883.18.128,diagnosisClassification,"Code system of concepts used to classify whether a patient visit can
be related to a diagnosis. Used in HL7 Version 2.x messaging in the DG1
segment.",Diagnosis Classification Code System,http://terminology.hl7.org/CodeSystem/v2-0228,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.140,hl7VS-diagnosisClassification,"Value Set of codes that classify whether a patient visit can be
related to a diagnosis.",Diagnosis Classification Value Set,http://terminology.hl7.org/ValueSet/v2-0228,all codes,,,,,example,0228,2.16.840.1.113883.12.228,Diagnosis Classification,"Table of codes used to classify whether a patient visit can be
related to a diagnosis.",User,FM,DG1-17,2.3,,
0229 -- DRG Payor,DOM: 229,DrgPayor,"The domain of possible values that identify a Diagnostic Resource
Group Payor. US Realm. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0229,2.16.840.1.113883.12.229,DRG Payor,"Table of codes used to identify a Diagnostic Resource Group Payor.
US Realm. No suggested values.",User,FM,IN3-12,2.3,,
0230 -- Procedure Functional Type,DOM: 230,ProcedureFunctionalType,The domain of possible values that classify a procedure.,false,2.16.840.1.113883.18.130,procedureFunctionalType,"Code system of concepts used to classify a procedure. Used in HL7
Version 2.x messaging in the PR1 segment.",Procedure Functional Type Code System,http://terminology.hl7.org/CodeSystem/v2-0230,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.142,hl7VS-procedureFunctionalType,Value Set of codes that classify a procedure.,Procedure Functional Type Value Set,http://terminology.hl7.org/ValueSet/v2-0230,all codes,,,,,example,0230,2.16.840.1.113883.12.230,Procedure Functional Type,Table of codes used to classify a procedure.,User,FM,PR1-6,2.3,,
0231 -- Student Status,DOM: 231,StudentStatus,"The domain of possible values that designate whether a guarantor is
a full or part time student.",false,2.16.840.1.113883.18.131,studentStatus,"Code system of concepts used to designate whether a guarantor is a
full or part time student. Used in HL7 Version 2.x messaging in the GT1,
NK1 and PD1 segments.",Student Status Code System,http://terminology.hl7.org/CodeSystem/v2-0231,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.143,hl7VS-studentStatus,"Value Set of codes that designate whether a guarantor is a full or
part time student.",Student Status Value Set,http://terminology.hl7.org/ValueSet/v2-0231,all codes,,,,,representative,0231,2.16.840.1.113883.12.231,Student Status,"Table of codes used to designate whether a guarantor is a full or
part time student.",User,FM,"GT1-40, NK1-24, PD1-5",2.3,,
0232 -- Insurance Company Contact Reason,DOM: 232,InsuranceCompanyContactReason,"The domain of possible values that describe why an insurance company
has been contacted.",false,2.16.840.1.113883.18.132,insuranceCompanyContactReason,"Code system of concepts used to describe why an insurance company
has been contacted. Used in HL7 Version 2.x messaging in the IN2
segment.",- Insurance Company Contact Reason Code System,http://terminology.hl7.org/CodeSystem/v2-0232,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.144,hl7VS-insuranceCompanyContactReason,"Value Set of codes that describe why an insurance company has been
contacted.",- Insurance Company Contact Reason Value Set,http://terminology.hl7.org/ValueSet/v2-0232,all codes,,,,,example,0232,2.16.840.1.113883.12.232,Insurance Company Contact Reason,"Table of codes used to describe why an insurance company has been
contacted.",User,FM,IN2-57,2.3,,
0233 -- Non-Concur Code/Description,DOM: 233,Non-concurCode_Description,"The domain of possible values that specify a non-concur code and
description for a denied request, used in insurance claims processing.
No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0233,2.16.840.1.113883.12.233,Non-Concur Code/Description,"Table of codes that specify a non-concur code and description for a
denied request, used in insurance claims processing. No suggested
values.",User,,,2.3,,
0234 -- Report Timing,DOM: 234,ReportTiming,"The domain of possible values to identify the time span of a report
or the reason for a report sent to a regulatory agency.",false,2.16.840.1.113883.18.133,reportTiming,"HL7-defined code system of concepts used to identify the time span
of a report or the reason for a report sent to a regulatory agency. Used
in HL7 Version 2.x messaging in the PES segment.",Report Timing Code System,http://terminology.hl7.org/CodeSystem/v2-0234,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.145,hl7VS-reportTiming,"Value Set of codes that identify the time span of a report or the
reason for a report sent to a regulatory agency.",Report Timing Value Set,http://terminology.hl7.org/ValueSet/v2-0234,all codes,,,,,universal,0234,2.16.840.1.113883.12.234,Report Timing,"HL7-defined table of codes used to identify the time span of a
report or the reason for a report sent to a regulatory agency.",HL7,OO,PES-11,2.3,,
0235 -- Report Source,DOM: 235,ReportSource,"The domain of possible values to identify where a report sender
learned about an event.",false,2.16.840.1.113883.18.134,reportSource,"HL7-defined code system of concepts used to identify where a report
sender learned about an event. Used in HL7 Version 2.x messaging in the
PES segment.",Report Source Code System,http://terminology.hl7.org/CodeSystem/v2-0235,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.146,hl7VS-reportSource,"Value Set of codes that identify where a report sender learned about
an event.",Report Source Value Set,http://terminology.hl7.org/ValueSet/v2-0235,all codes,,,,,universal,0235,2.16.840.1.113883.12.235,Report Source,"HL7-defined table of codes used to identify where a report sender
learned about an event.",HL7,OO,PES-12,2.3,,
0236 -- Event Reported To,DOM: 236,EventReportedTo,"The domain of possible values to identify the type of entity to
which the event has been reported.",false,2.16.840.1.113883.18.135,eventReportedTo,"HL7-defined code system of concepts used to identify the type of
entity to which the even has been reported. Used in HL7 Version 2.x
messaging in the PES segment.",Event Reported To Code System,http://terminology.hl7.org/CodeSystem/v2-0236,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.147,hl7VS-eventReportedTo,"Value Set of codes that identify the type of entity to which the
event has been reported.",Event Reported To Value Set,http://terminology.hl7.org/ValueSet/v2-0236,all codes,,,,,universal,0236,2.16.840.1.113883.12.236,Event Reported To,"HL7-defined table of codes used to identify the type of entity to
which the event has been reported.",HL7,OO,PES-13,2.3,,
0237 -- Event Qualification,DOM: 237,EventQualification,"The domain of possible values to qualify an event related to a
product experience.",false,2.16.840.1.113883.18.136,eventQualification,"HL7-defined code system of concepts used to qualify an event related
to a product experience. Used in HL7 Version 2.x messaging in the PEO
segment.",Event Qualification Code System,http://terminology.hl7.org/CodeSystem/v2-0237,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.148,hl7VS-eventQualification,"Value Set of codes that qualify an event related to a product
experience.",Event Qualification Value Set,http://terminology.hl7.org/ValueSet/v2-0237,all codes,,,,,universal,0237,2.16.840.1.113883.12.237,Event Qualification,"HL7-defined table of codes used to qualify an event related to a
product experience.",HL7,OO,PEO-8,2.3,,
0238 -- Event Seriousness,DOM: 238,EventSeriousness,"The domain of possible values to a sender to designate an event as
serious or significant.",false,2.16.840.1.113883.18.137,eventSeriousness,"HL7-defined code system of concepts used by a sender to designate an
event as serious or significant. Used in HL7 Version 2.x messaging in
the PEO segment.",Event Seriousness Code System,http://terminology.hl7.org/CodeSystem/v2-0238,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.149,hl7VS-eventSeriousness,"Value Set of codes that a sender to designate an event as serious or
significant.",Event Seriousness Value Set,http://terminology.hl7.org/ValueSet/v2-0238,all codes,,,,,universal,0238,2.16.840.1.113883.12.238,Event Seriousness,"HL7-defined table of codes used by a sender to designate an event as
serious or significant.",HL7,OO,PEO-9,2.3,,
0239 -- Event Expected,DOM: 239,EventExpected,"The domain of possible values to communicate whether an event has
been judged to be expected or unexpected.",false,2.16.840.1.113883.18.138,eventExpected,"HL7-defined code system of concepts used to communicate whether an
event has been judged to be expected or unexpected. Used in HL7 Version
2.x messaging in the PEO segment.",Event Expected Code System,http://terminology.hl7.org/CodeSystem/v2-0239,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.150,hl7VS-eventExpected,"Value Set of codes that communicate whether an event has been judged
to be expected or unexpected.",Event Expected Value Set,http://terminology.hl7.org/ValueSet/v2-0239,all codes,,,,,universal,0239,2.16.840.1.113883.12.239,Event Expected,"HL7-defined table of codes used to communicate whether an event has
been judged to be expected or unexpected.",HL7,OO,PEO-10,2.3,,
0240 -- Event Consequence,DOM: 240,EventConsequence,"The domain of possible values to describe the impact of an event on
a patient.",false,2.16.840.1.113883.18.139,eventConsequence,"HL7-defined code system of concepts used to describe the impact of
an event on a patient. Used in HL7 Version 2.x messaging in the PEO
segment.",Event Consequence Code System,http://terminology.hl7.org/CodeSystem/v2-0240,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.151,hl7VS-eventConsequence,"Value Set of codes that describe the impact of an event on a
patient.",Event Consequence Value Set,http://terminology.hl7.org/ValueSet/v2-0240,all codes,,,,,universal,0240,2.16.840.1.113883.12.240,Event Consequence,"HL7-defined table of codes used to describe the impact of an event
on a patient.",HL7,OO,PEO-11,2.3,,
0241 -- Patient Outcome,DOM: 241,PatientOutcome,"The domain of possible values to describe the overall state of a
patient as a result of patient care.",false,2.16.840.1.113883.18.140,patientOutcome,"HL7-defined code system of concepts used to describe the overall
state of a patient as a result of patient care. Used in HL7 Version 2.x
messaging in the PEO segment.",Patient Outcome Code System,http://terminology.hl7.org/CodeSystem/v2-0241,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.152,hl7VS-patientOutcome,"Value Set of codes that describe the overall state of a patient as a
result of patient care.",Patient Outcome Value Set,http://terminology.hl7.org/ValueSet/v2-0241,all codes,,,,,universal,0241,2.16.840.1.113883.12.241,Patient Outcome,"HL7-defined table of codes used to describe the overall state of a
patient as a result of patient care.",HL7,OO,PEO-12,2.3,,
